type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2026-02-22 04:14:01,34.92089900,137.16607867,3.79,88.755,,0.000,,28,47,,
T,2026-02-22 04:14:02,34.92089821,137.16608292,3.79,88.714,,0.000,,30,47,,
T,2026-02-22 04:14:03,34.92089580,137.16608203,3.79,88.940,,0.000,,30,47,,
T,2026-02-22 04:14:04,34.92089295,137.16608165,3.79,88.963,,0.000,,30,47,,
T,2026-02-22 04:14:05,34.92089053,137.16608098,3.79,88.856,,0.000,,30,47,,
T,2026-02-22 04:14:06,34.92088760,137.16608105,3.79,88.678,,0.000,,30,47,,
T,2026-02-22 04:14:07,34.92088489,137.16608149,3.79,88.358,,0.000,,30,47,,
T,2026-02-22 04:14:08,34.92088168,137.16608014,3.79,88.360,,0.000,,29,47,,
T,2026-02-22 04:14:09,34.92087672,137.16607511,3.79,88.073,,0.400,194,28,47,,
T,2026-02-22 04:14:10,34.92086859,137.16606658,3.79,88.373,,1.480,219,30,47,,
T,2026-02-22 04:14:11,34.92086479,137.16605155,3.79,88.223,,1.760,239,31,47,,
T,2026-02-22 04:14:12,34.92086123,137.16603130,3.79,87.754,,2.280,255,32,47,,
T,2026-02-22 04:14:13,34.92085569,137.16600357,3.79,87.545,,2.880,259,32,48,,
T,2026-02-22 04:14:14,34.92085224,137.16597111,3.79,87.326,,3.010,262,33,48,,
T,2026-02-22 04:14:15,34.92084909,137.16593925,3.79,86.641,,2.860,260,33,48,,
T,2026-02-22 04:14:16,34.92084537,137.16590846,3.79,86.310,,2.770,260,32,48,,
T,2026-02-22 04:14:17,34.92084209,137.16587945,3.79,86.090,,2.550,259,32,48,,
T,2026-02-22 04:14:18,34.92083969,137.16585331,3.79,85.811,,2.280,260,31,48,,
T,2026-02-22 04:14:19,34.92083750,137.16582951,3.79,85.567,,2.140,259,31,48,,
T,2026-02-22 04:14:20,34.92083412,137.16580249,3.79,85.250,,2.840,258,31,48,,
T,2026-02-22 04:14:21,34.92082859,137.16576956,3.79,85.222,,3.200,256,31,48,,
T,2026-02-22 04:14:22,34.92082182,137.16573829,3.79,85.057,,2.710,253,30,48,,
T,2026-02-22 04:14:23,34.92081450,137.16571173,3.79,84.913,,2.460,248,30,48,,
T,2026-02-22 04:14:24,34.92080801,137.16569295,3.79,84.118,,1.330,241,31,48,,
T,2026-02-22 04:14:25,34.92080445,137.16568341,3.79,84.121,,0.700,242,31,48,,
T,2026-02-22 04:14:26,34.92080550,137.16568087,3.79,83.827,,0.000,,32,48,,
T,2026-02-22 04:14:27,34.92080714,137.16568036,3.79,83.638,,0.000,,31,48,,
T,2026-02-22 04:14:28,34.92080783,137.16567870,3.79,83.538,,0.000,,31,48,,
T,2026-02-22 04:14:29,34.92080907,137.16567717,3.79,83.357,,0.000,,31,48,,
T,2026-02-22 04:14:30,34.92081031,137.16567587,3.79,83.324,,0.000,,30,48,,
T,2026-02-22 04:14:31,34.92081124,137.16567493,3.79,83.321,,0.000,,30,48,,
T,2026-02-22 04:14:32,34.92081227,137.16567418,3.79,83.190,,0.000,,31,48,,
T,2026-02-22 04:14:33,34.92081358,137.16567291,3.79,82.934,,0.000,,31,48,,
T,2026-02-22 04:14:34,34.92081466,137.16567198,3.79,82.732,,0.000,,31,48,,
T,2026-02-22 04:14:35,34.92081577,137.16567107,3.79,82.504,,0.000,,31,48,,
T,2026-02-22 04:14:36,34.92081640,137.16567045,3.79,82.382,,0.000,,31,48,,
T,2026-02-22 04:14:37,34.92081674,137.16566998,3.79,82.309,,0.000,,31,48,,
T,2026-02-22 04:14:38,34.92081691,137.16566973,3.79,82.303,,0.000,,30,48,,
T,2026-02-22 04:14:39,34.92081701,137.16566959,3.79,82.293,,0.000,,30,48,,
T,2026-02-22 04:14:40,34.92081705,137.16566949,3.79,82.291,,0.000,,30,48,,
T,2026-02-22 04:14:41,34.92081706,137.16566942,3.79,82.283,,0.000,,30,48,,
T,2026-02-22 04:14:42,34.92081706,137.16566937,3.79,82.277,,0.000,,30,48,,
T,2026-02-22 04:14:43,34.92081705,137.16566933,3.79,82.273,,0.000,,30,48,,
T,2026-02-22 04:14:44,34.92081704,137.16566930,3.79,82.270,,0.000,,30,48,,
T,2026-02-22 04:14:45,34.92081703,137.16566928,3.79,82.268,,0.000,,31,48,,
T,2026-02-22 04:14:46,34.92081701,137.16566926,3.79,82.267,,0.000,,31,48,,
T,2026-02-22 04:14:47,34.92081700,137.16566924,3.79,82.266,,0.000,,31,48,,
T,2026-02-22 04:14:48,34.92081699,137.16566922,3.79,82.265,,0.000,,30,48,,
T,2026-02-22 04:14:49,34.92081698,137.16566920,3.79,82.264,,0.000,,30,48,,
T,2026-02-22 04:14:50,34.92081697,137.16566919,3.79,82.264,,0.000,,31,48,,
T,2026-02-22 04:14:51,34.92081696,137.16566917,3.79,82.264,,0.000,,32,48,,
T,2026-02-22 04:14:52,34.92081695,137.16566916,3.79,82.262,,0.000,,31,48,,
T,2026-02-22 04:14:53,34.92081694,137.16566915,3.79,82.263,,0.000,,30,48,,
T,2026-02-22 04:14:54,34.92081692,137.16566915,3.79,82.262,,0.000,,31,48,,
T,2026-02-22 04:14:55,34.92081690,137.16566914,3.79,82.262,,0.000,,32,48,,
T,2026-02-22 04:14:56,34.92081689,137.16566912,3.79,82.261,,0.000,,32,48,,
T,2026-02-22 04:14:57,34.92081607,137.16566463,3.79,81.973,,0.540,242,32,49,,
T,2026-02-22 04:14:58,34.92081228,137.16564538,3.79,81.834,,2.690,255,33,49,,
T,2026-02-22 04:14:59,34.92080334,137.16561162,3.79,81.793,,3.590,251,33,49,,
T,2026-02-22 04:15:00,34.92079039,137.16557086,3.79,81.568,,4.230,249,33,49,,
T,2026-02-22 04:15:01,34.92077482,137.16552573,3.79,81.362,,4.640,247,34,49,,
T,2026-02-22 04:15:02,34.92075789,137.16547813,3.79,81.167,,4.820,247,34,49,,
T,2026-02-22 04:15:03,34.92074051,137.16543052,3.79,80.915,,4.700,247,33,49,,
T,2026-02-22 04:15:04,34.92072492,137.16539195,3.79,80.788,,3.260,244,33,49,,
T,2026-02-22 04:15:05,34.92071325,137.16536847,3.79,81.066,,1.890,239,33,49,,
T,2026-02-22 04:15:06,34.92070236,137.16535386,3.79,81.063,,1.710,227,32,49,,
T,2026-02-22 04:15:07,34.92069066,137.16534468,3.79,81.177,,1.420,210,31,49,,
T,2026-02-22 04:15:08,34.92066898,137.16533977,3.79,81.326,,3.310,189,32,49,,
T,2026-02-22 04:15:09,34.92063597,137.16534623,3.79,81.692,,4.050,169,33,49,,
T,2026-02-22 04:15:10,34.92060390,137.16539766,3.79,81.670,,5.050,138,33,49,,
T,2026-02-22 04:15:11,34.92056540,137.16543161,3.79,81.708,,5.620,142,32,49,,
T,2026-02-22 04:15:12,34.92052410,137.16546759,3.79,82.332,,5.930,142,32,49,,
T,2026-02-22 04:15:13,34.92049477,137.16551242,3.79,82.297,,5.430,122,32,49,,
T,2026-02-22 04:15:14,34.92044579,137.16554900,3.79,82.711,,6.410,150,32,49,,
T,2026-02-22 04:15:15,34.92040446,137.16559483,3.79,83.009,,6.280,140,32,49,,
T,2026-02-22 04:15:16,34.92036477,137.16563327,3.79,83.164,,5.160,143,32,49,,
T,2026-02-22 04:15:17,34.92032268,137.16568001,3.79,83.675,,6.200,139,32,49,,
T,2026-02-22 04:15:18,34.92027781,137.16572369,3.79,83.773,,6.320,142,32,49,,
T,2026-02-22 04:15:19,34.92023138,137.16576792,3.79,84.096,,6.530,142,32,49,,
T,2026-02-22 04:15:20,34.92018319,137.16581021,3.79,84.033,,6.640,144,32,49,,
T,2026-02-22 04:15:21,34.92013765,137.16585626,3.79,84.211,,6.850,143,32,49,,
T,2026-02-22 04:15:22,34.92008893,137.16590346,3.79,84.618,,6.860,142,32,49,,
T,2026-02-22 04:15:23,34.92004044,137.16594539,3.79,85.412,,6.750,143,32,49,,
T,2026-02-22 04:15:24,34.91999315,137.16599080,3.79,85.845,,6.780,143,32,49,,
T,2026-02-22 04:15:25,34.91994443,137.16603624,3.79,85.665,,6.820,143,32,49,,
T,2026-02-22 04:15:26,34.91989423,137.16608398,3.79,86.358,,6.910,142,32,49,,
T,2026-02-22 04:15:27,34.91984451,137.16613562,3.79,86.570,,7.120,141,32,49,,
T,2026-02-22 04:15:28,34.91979628,137.16618209,3.79,86.933,,7.180,142,31,49,,
T,2026-02-22 04:15:29,34.91974199,137.16623085,3.79,87.000,,7.340,142,31,49,,
T,2026-02-22 04:15:30,34.91968794,137.16628218,3.79,87.081,,7.680,141,31,49,,
T,2026-02-22 04:15:31,34.91964338,137.16632326,3.79,86.696,,6.010,143,32,49,,
T,2026-02-22 04:15:32,34.91960718,137.16635863,3.79,86.362,,4.350,143,32,49,,
T,2026-02-22 04:15:33,34.91958536,137.16638165,3.79,85.617,,2.450,135,32,49,,
T,2026-02-22 04:15:34,34.91957450,137.16639486,3.79,85.910,,0.930,131,32,49,,
T,2026-02-22 04:15:35,34.91956887,137.16640433,3.79,85.839,,0.730,137,32,49,,
T,2026-02-22 04:15:36,34.91955234,137.16642306,3.79,86.154,,2.330,138,32,49,,
T,2026-02-22 04:15:37,34.91952902,137.16643648,3.79,86.228,,3.520,156,31,49,,
T,2026-02-22 04:15:38,34.91949068,137.16644637,3.79,85.419,,5.360,170,33,49,,
T,2026-02-22 04:15:39,34.91943585,137.16644515,3.79,85.298,,6.660,185,33,49,,
T,2026-02-22 04:15:40,34.91937672,137.16643932,3.79,85.184,,7.040,187,32,49,,
T,2026-02-22 04:15:41,34.91931025,137.16643476,3.79,85.288,,7.560,184,33,49,,
T,2026-02-22 04:15:42,34.91923813,137.16642814,3.79,85.614,,7.960,185,33,49,,
T,2026-02-22 04:15:43,34.91917074,137.16641888,3.79,85.756,,7.440,184,33,49,,
T,2026-02-22 04:15:44,34.91911313,137.16641197,3.79,85.720,,6.350,185,31,49,,
T,2026-02-22 04:15:45,34.91906309,137.16640811,3.79,85.768,,4.580,184,31,49,,
T,2026-02-22 04:15:46,34.91902928,137.16640958,3.79,85.824,,2.800,168,31,49,,
T,2026-02-22 04:15:47,34.91900476,137.16642651,3.79,85.321,,2.800,146,30,49,,
T,2026-02-22 04:15:48,34.91897962,137.16644879,3.79,84.937,,3.430,144,29,49,,
T,2026-02-22 04:15:49,34.91895577,137.16646918,3.79,84.526,,3.340,146,29,49,,
T,2026-02-22 04:15:50,34.91892906,137.16649267,3.79,84.284,,3.750,148,27,49,,
T,2026-02-22 04:15:51,34.91889893,137.16651650,3.79,84.002,,4.120,149,27,49,,
T,2026-02-22 04:15:52,34.91886260,137.16654026,3.79,84.516,,4.610,153,27,49,,
T,2026-02-22 04:15:53,34.91882099,137.16655275,3.79,83.507,,5.170,169,28,49,,
T,2026-02-22 04:15:54,34.91877192,137.16655159,3.79,82.737,,5.890,187,28,49,,
T,2026-02-22 04:15:55,34.91871634,137.16653260,3.79,82.059,,6.710,202,28,49,,
T,2026-02-22 04:15:56,34.91865991,137.16650986,3.79,81.653,,6.990,203,28,49,,
T,2026-02-22 04:15:57,34.91859934,137.16647498,3.79,81.319,,7.500,204,28,49,,
T,2026-02-22 04:15:58,34.91853730,137.16644528,3.79,80.428,,7.560,206,28,49,,
T,2026-02-22 04:15:59,34.91848964,137.16640815,3.79,79.755,,5.890,213,27,49,,
T,2026-02-22 04:16:00,34.91845888,137.16637769,3.79,79.384,,3.380,221,27,49,,
T,2026-02-22 04:16:01,34.91843646,137.16636318,3.79,79.222,,1.970,199,27,49,,
T,2026-02-22 04:16:02,34.91840973,137.16636269,3.79,79.058,,2.610,160,27,49,,
T,2026-02-22 04:16:03,34.91839402,137.16638066,3.79,78.821,,3.060,123,30,49,,
T,2026-02-22 04:16:04,34.91838466,137.16641232,3.79,79.280,,3.530,102,30,49,,
T,2026-02-22 04:16:05,34.91837774,137.16645380,3.79,79.323,,4.490,98,30,49,,
T,2026-02-22 04:16:06,34.91837343,137.16649862,3.79,79.092,,4.380,97,30,49,,
T,2026-02-22 04:16:07,34.91836981,137.16654402,3.79,79.034,,3.970,97,30,49,,
T,2026-02-22 04:16:08,34.91836562,137.16658735,3.79,79.167,,3.710,101,31,49,,
T,2026-02-22 04:16:09,34.91836452,137.16661249,3.79,78.767,,1.720,101,28,49,,
T,2026-02-22 04:16:10,34.91836308,137.16662325,3.79,78.972,,0.300,99,28,49,,
T,2026-02-22 04:16:11,34.91836235,137.16662601,3.79,79.058,,0.170,100,29,49,,
T,2026-02-22 04:16:12,34.91836160,137.16662864,3.79,78.913,,0.190,100,29,49,,
T,2026-02-22 04:16:13,34.91836193,137.16663185,3.79,78.643,,0.000,,29,49,,
T,2026-02-22 04:16:14,34.91836222,137.16663280,3.79,78.772,,0.000,,32,49,,
T,2026-02-22 04:16:15,34.91836216,137.16663281,3.79,78.782,,0.000,,32,49,,
T,2026-02-22 04:16:16,34.91836187,137.16663279,3.79,78.736,,0.240,100,32,49,,
T,2026-02-22 04:16:17,34.91836036,137.16663304,3.79,79.328,,0.170,100,32,49,,
T,2026-02-22 04:16:18,34.91835950,137.16663317,3.79,80.309,,0.000,,32,49,,
T,2026-02-22 04:16:19,34.91836038,137.16663322,3.79,80.241,,0.000,,32,49,,
T,2026-02-22 04:16:20,34.91836174,137.16663283,3.79,80.358,,0.000,,30,49,,
T,2026-02-22 04:16:21,34.91836096,137.16663374,3.79,80.777,,0.240,100,30,49,,
T,2026-02-22 04:16:22,34.91836047,137.16663546,3.79,80.952,,0.000,,30,49,,
T,2026-02-22 04:16:23,34.91835996,137.16663578,3.79,81.154,,0.000,,30,49,,
T,2026-02-22 04:16:24,34.91835862,137.16663632,3.79,81.336,,0.000,,29,49,,
T,2026-02-22 04:16:25,34.91835771,137.16663627,3.79,81.436,,0.000,,29,49,,
T,2026-02-22 04:16:26,34.91835624,137.16663580,3.79,81.732,,0.000,,29,49,,
T,2026-02-22 04:16:27,34.91835511,137.16663510,3.79,82.144,,0.000,,29,49,,
T,2026-02-22 04:16:28,34.91835504,137.16663333,3.79,82.271,,0.000,,28,49,,
T,2026-02-22 04:16:29,34.91835397,137.16663612,3.79,82.133,,0.550,99,28,49,,
T,2026-02-22 04:16:30,34.91834987,137.16665642,3.79,82.109,,3.010,102,28,49,,
T,2026-02-22 04:16:31,34.91834390,137.16668953,3.79,81.967,,3.100,101,28,49,,
T,2026-02-22 04:16:32,34.91833889,137.16672075,3.79,82.039,,2.720,101,27,49,,
T,2026-02-22 04:16:33,34.91833381,137.16674918,3.79,81.944,,2.530,101,28,49,,
T,2026-02-22 04:16:34,34.91832907,137.16677675,3.79,82.458,,2.440,101,29,49,,
T,2026-02-22 04:16:35,34.91832435,137.16680311,3.79,82.436,,2.370,102,29,49,,
T,2026-02-22 04:16:36,34.91831989,137.16683069,3.79,82.588,,2.620,100,29,49,,
T,2026-02-22 04:16:37,34.91831644,137.16685695,3.79,82.710,,2.220,99,29,48,,
T,2026-02-22 04:16:38,34.91831483,137.16688034,3.79,82.867,,2.160,96,29,48,,
T,2026-02-22 04:16:39,34.91831394,137.16690715,3.79,83.067,,2.660,93,29,48,,
T,2026-02-22 04:16:40,34.91831451,137.16693824,3.79,83.039,,3.070,90,30,48,,
T,2026-02-22 04:16:41,34.91831658,137.16697610,3.79,83.047,,3.840,87,29,48,,
T,2026-02-22 04:16:42,34.91831989,137.16702021,3.79,83.211,,4.200,86,30,48,,
T,2026-02-22 04:16:43,34.91832334,137.16706500,3.79,83.344,,3.980,85,30,48,,
T,2026-02-22 04:16:44,34.91832627,137.16710671,3.79,83.093,,3.630,87,30,48,,
T,2026-02-22 04:16:45,34.91832726,137.16714001,3.79,83.476,,2.550,89,30,48,,
T,2026-02-22 04:16:46,34.91832551,137.16716605,3.79,83.742,,2.320,96,30,48,,
T,2026-02-22 04:16:47,34.91831677,137.16719887,3.79,83.914,,3.760,108,30,48,,
T,2026-02-22 04:16:48,34.91829727,137.16723849,3.79,84.180,,4.490,122,30,48,,
T,2026-02-22 04:16:49,34.91825017,137.16726644,3.79,84.091,,5.300,148,30,48,,
T,2026-02-22 04:16:50,34.91820584,137.16729602,3.79,83.963,,5.990,153,30,48,,
T,2026-02-22 04:16:51,34.91815943,137.16731692,3.79,83.904,,5.710,166,30,48,,
T,2026-02-22 04:16:52,34.91810759,137.16732150,3.79,82.906,,5.950,177,30,48,,
T,2026-02-22 04:16:53,34.91805688,137.16732435,3.79,82.610,,6.010,178,30,48,,
T,2026-02-22 04:16:54,34.91800352,137.16732883,3.79,82.349,,5.980,175,30,48,,
T,2026-02-22 04:16:55,34.91794768,137.16733361,3.79,82.278,,6.120,176,30,48,,
T,2026-02-22 04:16:56,34.91789052,137.16733779,3.79,81.892,,6.420,176,30,48,,
T,2026-02-22 04:16:57,34.91783137,137.16734232,3.79,81.577,,6.490,176,30,48,,
T,2026-02-22 04:16:58,34.91777502,137.16734817,3.79,81.254,,6.400,175,30,48,,
T,2026-02-22 04:16:59,34.91771609,137.16735165,3.79,80.939,,6.920,177,30,48,,
T,2026-02-22 04:17:00,34.91764836,137.16735340,3.79,80.862,,7.840,178,30,48,,
T,2026-02-22 04:17:01,34.91757682,137.16735581,3.79,80.867,,8.170,178,30,48,,
T,2026-02-22 04:17:02,34.91750312,137.16736016,3.79,80.823,,8.450,178,30,48,,
T,2026-02-22 04:17:03,34.91742739,137.16736410,3.79,80.645,,8.540,178,30,48,,
T,2026-02-22 04:17:04,34.91734984,137.16736918,3.79,80.297,,8.640,177,30,48,,
T,2026-02-22 04:17:05,34.91727381,137.16737633,3.79,79.884,,8.410,174,30,48,,
T,2026-02-22 04:17:06,34.91720315,137.16738236,3.79,79.878,,7.460,174,30,48,,
T,2026-02-22 04:17:07,34.91713641,137.16739205,3.79,80.779,,7.140,170,30,48,,
